trial,sequence,response,accuracy,positional_accuracy
1,IADLYQ,IADLYQ,1.0,"[1, 1, 1, 1, 1, 1]"
2,LVPAQU,LVPAQU,1.0,"[1, 1, 1, 1, 1, 1]"
3,KEFLGY,FEKLQG,0.3333333333333333,"[0, 1, 0, 1, 0, 0]"
4,KXZPQS,KXZPQS,1.0,"[1, 1, 1, 1, 1, 1]"
5,SLVRPY,SLVRPY,1.0,"[1, 1, 1, 1, 1, 1]"
6,HYGWLZ,HYGWLZ,1.0,"[1, 1, 1, 1, 1, 1]"
7,NXMCSP,NXMCSP,1.0,"[1, 1, 1, 1, 1, 1]"
8,XIGZWO,XIGZWO,1.0,"[1, 1, 1, 1, 1, 1]"
9,WXQGIE,WXKGIE,0.8333333333333334,"[1, 1, 0, 1, 1, 1]"
10,ORPDBY,ORPDBY,1.0,"[1, 1, 1, 1, 1, 1]"
