trial,sequence,response,accuracy
1,ELITGKHBMWZRUVQ,EHLOJTBRKSVNMZA,0.6666666666666666
2,AIBUDFTXVSGJZOC,SDFATYUIOPLKJ,0.6
3,YKIUCPEZANDGBTF,YKDIUFTHGBNA,0.7333333333333333
4,CAYLUXPVIGOKSZM,ZAXCTHGLOPIDF,0.6
5,EIGZXBSJCPVWRYF,EIGXCSPFHAQZPUN,0.6
6,GNKMOBEXSWQIZPA,QWERUIOPASDFH,0.5333333333333333
7,IVYBPSJRDZLKWNH,VYIPSBHJLKQWERA,0.8
8,ETXHCJIPBGWZAYS,QWERYUPOSDGHF,0.4666666666666667
9,MGOANWBTQYJZPHU,MONJLKSTYUDXZAQ,0.6666666666666666
10,SYXCJLTOHMWAERP,SYUIDKFJNMCBVZQ,0.3333333333333333
